NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Aiden,0,X1,FDC9,FDC4,HDC3,FDC2,HDE3,HDC1,FDE2,FDE3,HDE4,FDC3
Bella,0,X1,FDE3,HDE3,HDE2,FDE1,FDC4,HDC4,FDC7,HDC2,FDC1,FDC2
Caleb,0,X1,HDC1,HDE1,HDC3,FDC5,HDE4,FDC10,FDC2,FDC6,FDE6,FDE4
Delilah,0,X1,FDC3,FDC2,FDC5,HDC4,HDE1,FDE6,HDC2,FDE1,HDE3,FDC9
Ethan,0,X3,HDE4,FDC11,FDE3,FDC8,HDC1,FDC7,FDC2,FDE5,HDE3,HDC2
Fiona,0,X1,FDE6,FDC7,HDE1,HDE4,FDC6,FDE2,HDC3,FDC9,HDC1,FDC3
Gabriel,0,X2,FDC6,HDC4,FDE3,FDC10,HDC3,FDE5,HDE3,FDC5,FDC3,HDE2
Hannah,0,X1,FDC10,HDE4,HDC3,FDC5,FDE5,HDE3,FDE4,FDC4,HDC4,FDC7
Isaac,0,X1,HDE3,HDE4,FDC3,FDE6,FDC2,HDC1,HDC2,FDC4,FDC6,FDE1
Jasmine,0,X1,FDC10,HDC4,FDC6,FDE1,HDC2,HDE3,FDC5,HDE1,FDE6,FDC2
Kaden,0,X2,FDC4,HDE3,FDC6,HDC1,FDE6,FDE3,HDC4,HDE2,FDC5,FDC2
Lily,0,X2,HDE3,FDC6,FDC2,FDC5,FDC4,HDC2,FDE3,HDE4,FDE6,HDC3
Mason,0,X2,HDC2,FDC9,HDC1,HDE3,FDC7,FDC3,HDE4,FDE4,FDE5,FDC2
Nora,0,X2,HDC4,HDC3,HDE4,FDC6,FDC10,FDC4,FDE3,HDE3,FDC7,FDE2
Oliver,0,X2,FDC5,HDE1,HDE3,FDC6,FDE6,FDC4,HDC2,FDE4,HDC3,FDC9
Penelope,0,X2,FDC9,HDE4,HDE1,HDC2,FDE1,HDC4,FDC5,FDC10,FDE3,FDC6
Quentin,0,X2,FDC3,FDC10,HDC2,FDE6,FDE1,HDC1,HDE1,FDC4,HDE4,FDC9
Rose,0,X2,FDC9,HDE2,FDC3,FDE4,HDC4,HDE4,FDC4,FDE2,HDC3,FDC5
Sebastian,0,X3,FDC1,FDC5,HDC2,HDC4,FDE6,FDE4,HDE2,FDC3,FDC2,HDE4
Tessa,0,X3,HDE1,FDC7,HDC4,HDE2,FDE4,FDC9,FDC10,HDC2,FDE1,FDC4
Uriel,0,X3,FDC9,HDC3,FDE4,HDC4,FDC7,FDC3,FDC2,HDE4,HDE2,FDE5
Violet,0,X3,FDC7,FDE3,HDC1,FDE6,FDC2,FDC6,HDE4,FDC10,HDE3,HDC4
William,0,X3,HDE2,FDC10,FDC2,HDC3,FDE6,FDE4,HDE1,HDC4,FDC4,FDC5
Xena,0,X3,FDC5,FDE2,FDE6,HDC1,HDC2,FDC10,HDE2,HDE4,FDC7,FDC2
Yosef,0,X3,HDE3,HDC1,FDE3,FDC10,FDC2,FDC5,FDE6,HDE2,HDC3,FDC1
Daniel,0,X3,FDC6,FDC5,FDC3,HDE2,FDC7,FDE2,HDE3,HDC4,FDE3,HDC1
Donald,0,X3,FDE3,HDE1,FDE1,HDC1,HDE4,FDC1,FDC5,FDC10,FDC4,HDC3
Zari,0,X3,FDC10,HDE3,HDC1,HDC3,HDE2,FDC2,FDC4,FDC6,FDE4,FDE5
Mohar,0,X3,FDE3,FDC6,FDE1,HDE4,HDC2,HDE3,FDC5,FDC4,HDC1,FDC2
Abdul,0,X3,FDE6,FDE3,FDC2,FDC5,FDC4,HDC2,HDE4,FDC6,HDE3,HDC3
